Wall time,Step,Value
1618442148.6821015,2859,13080.0
1618442170.2870505,2862,13073.0
1618442235.0786386,2871,13068.0
1618442242.1327715,2872,13067.0
1618442285.0854905,2878,13065.0
1618442299.4049695,2880,13066.0
1618442306.4755754,2881,13066.0
1618442349.6496549,2887,13055.0
1618442371.3926768,2890,13057.0
1618442378.743759,2891,13060.0
1618442414.7850642,2896,13053.0
1618442429.2401266,2898,13052.0
1618442443.578691,2900,13049.0
1618442465.0533683,2903,13048.0
1618442472.1796453,2904,13051.0
1618442529.9148278,2912,13045.0
1618442566.065263,2917,13047.0
1618442580.4012153,2919,13045.0
1618442587.5686502,2920,13045.0
1618442594.7737715,2921,13045.0
1618442674.4769518,2932,13035.0
1618442746.693166,2942,13034.0
1618442805.067836,2950,13022.0
1618442927.7756836,2967,13010.0
1618442964.144437,2972,13006.0
1618442978.8042548,2974,13005.0
1618442985.8529413,2975,13004.0
1618443007.4648921,2978,13005.0
1618443079.8514385,2988,13002.0
1618443123.669415,2994,13003.0
1618443152.7880125,2998,13001.0
1618443188.9738746,3003,13001.0
1618443203.4360995,3005,12999.0
1618443218.167119,3007,12996.0
1618443232.4192567,3009,12995.0
1618443247.2077782,3011,12996.0
1618443276.4380734,3015,12994.0
1618443283.7479625,3016,12995.0
1618443305.2428684,3019,12997.0
1618443312.7494726,3020,12995.0
1618443319.9418626,3021,12995.0
1618443348.8939748,3025,12995.0
1618443363.5148911,3027,12994.0
1618443385.1692278,3030,12994.0
1618443392.5573936,3031,12994.0
1618443406.818874,3033,12993.0
1618443442.9417098,3038,12991.0
1618443457.360489,3040,12991.0
1618443464.5308306,3041,12992.0
1618443471.6297324,3042,12991.0
1618443514.7814443,3048,12990.0
1618443529.0670178,3050,12989.0
1618443550.9147718,3053,12987.0
1618443616.4229705,3062,12982.0
1618443638.3838656,3065,12982.0
1618443652.6918988,3067,12983.0
1618443667.42482,3069,12983.0
1618443681.9572232,3071,12982.0
1618443696.2807038,3073,12982.0
1618443762.0506637,3082,12984.0
1618443791.1561627,3086,12984.0
1618443805.68156,3088,12983.0
1618443827.3252366,3091,12982.0
1618443885.2326546,3099,12977.0
1618443914.136524,3103,12977.0
1618443943.2969954,3107,12978.0
1618443986.8447776,3113,12975.0
1618444037.810315,3120,12974.0
1618444052.1725693,3122,12973.0
1618444087.8422425,3127,12972.0
1618444138.1073954,3134,12970.0
1618444159.729484,3137,12969.0
1618444167.073879,3138,12969.0
1618444203.2623322,3143,12969.0
1618444210.3434424,3144,12969.0
1618444217.7208924,3145,12967.0
1618444232.4639382,3147,12967.0
1618444254.0061345,3150,12966.0
1618444290.3815684,3155,12965.0
1618444312.3821998,3158,12964.0
1618444319.4548056,3159,12963.0
1618444333.877909,3161,12964.0
1618444377.3148808,3167,12963.0
1618444449.6630642,3177,12959.0
1618444500.5816712,3184,12958.0
1618444522.5610065,3187,12959.0
1618444529.8888333,3188,12958.0
1618444581.223333,3195,12955.0
1618444588.3064842,3196,12954.0
1618444595.4229813,3197,12954.0
1618444602.5868247,3198,12954.0
1618444639.2958817,3203,12953.0
1618444660.907182,3206,12952.0
1618444834.0022876,3230,12948.0
1618444855.3040218,3233,12948.0
1618444869.4775543,3235,12949.0
1618444905.4821894,3240,12947.0
1618444926.9699845,3243,12946.0
